occurred_date,highest_offense_description,family_violence,report_date_time,location_type,address,zip_code,council_district,apd_sector,apd_district,clearance_status,clearance_date,latitude,longitude,year,month,week,day
2004-08-29,MURDER,N,2004-08-29 21:41:00,STREETS / HWY / ROAD / ALLEY,1000 BLOCK RED RIVER ST,78701.0,1.0,GE,1,O,2004-11-15 00:00:00,30.27071776,-97.73569481,2004,8,35,29
2004-09-10,CAPITAL MURDER,N,2004-09-10 03:00:00,STREETS / HWY / ROAD / ALLEY,2200 BLOCK ELMONT DR,78741.0,3.0,HE,2,C,2004-10-21 00:00:00,30.24151458,-97.72540306,2004,9,37,10
2004-10-13,MURDER,N,2004-10-13 23:23:00,RESIDENCE / HOME,1025 E 45TH ST,78751.0,9.0,BA,5,N,2004-12-08 00:00:00,30.30327801,-97.71684626,2004,10,42,13
2004-11-18,MURDER,N,2004-11-18 02:17:00,STREETS / HWY / ROAD / ALLEY,2700 BLOCK RAYWOOD DR,78704.0,,DA,1,C,2005-01-18 00:00:00,30.24048399,-97.76876069,2004,11,47,18
2004-11-27,MURDER,N,2004-11-27 17:45:00,PARKING LOTS / GARAGE,4601 SAGEBRUSH TRL,78745.0,5.0,DA,4,C,2008-03-04 00:00:00,30.22888594,-97.79943904,2004,11,48,27
2004-11-29,MURDER,N,2004-11-29 00:49:00,RESIDENCE / HOME,2201 W WILLIAM CANNON DR,78745.0,5.0,FR,1,C,2004-12-13 00:00:00,30.20344331,-97.80920333,2004,11,49,29
2004-11-29,MURDER,N,2004-11-29 02:02:00,RESIDENCE / HOME,10500 BLOCK GEORGIAN DR,78753.0,4.0,ED,1,C,2004-12-13 00:00:00,30.37157718,-97.68638857,2004,11,49,29
2005-01-15,MURDER,Y,2005-01-15 01:03:00,RESIDENCE / HOME,2705 HOEKE LN,78744.0,2.0,HE,6,C,2005-03-07 00:00:00,30.21263421,-97.68990158,2005,1,2,15
2005-01-26,MURDER,N,2005-01-26 13:57:00,STREETS / HWY / ROAD / ALLEY,4700 BLOCK HARMON AVE,78751.0,9.0,BA,5,N,2005-01-27 00:00:00,30.30585758,-97.71494736,2005,1,4,26
2005-02-15,MURDER,N,2005-02-16 08:51:00,FIELD / WOODS,7300 BLOCK E US HWY 290 WB SVC RD,78752.0,1.0,ED,6,C,2005-04-28 00:00:00,30.32281903,-97.68202586,2005,2,7,15
2005-03-04,CAPITAL MURDER,N,2005-03-05 09:37:00,RESIDENCE / HOME,2100 HOLLY ST,78702.0,3.0,CH,1,C,2005-04-21 00:00:00,30.25267742,-97.72347319,2005,3,9,4
