occurred_date_time,highest_offense_description,family_violence,report_date_time,location_type,address,zip_code,council_district,apd_sector,apd_district,pra,census_tract,clearance_status,clearance_date,category_description,latitude,longitude,year,month,week,day,hour
2017-01-02 23:00:00,AGGRAVATED ASSAULT,False,2017-01-05 11:19:00,PARK / PLAYGROUND,300 COMAL ST,78702.0,3.0,CH,1,410.0,9.0,False,2017-01-19 00:00:00,Aggravated Assault,30.26053691,-97.72788327,2017.0,1.0,1.0,2.0,23.0
2017-01-03 00:49:00,ARMED ROBBERY,False,2017-01-03 00:49:00,GAS / SERVICE STATIONS,408 E RUNDBERG LN,78753.0,4.0,ED,1,240.0,18.23,True,2017-01-09 00:00:00,Robbery,30.35987625,-97.69035066,2017.0,1.0,1.0,3.0,0.0
2017-01-03 10:46:00,SEXUAL ASSAULT W/ OBJECT,False,2017-01-03 10:46:00,RESIDENCE / HOME,4800 BLOCK SANTA ANNA ST,78721.0,1.0,CH,5,397,21.1,True,2017-01-25 00:00:00,Rape,,,2017.0,1.0,1.0,3.0,10.0
2017-01-03 12:00:00,RAPE,False,2017-01-25 10:29:00,RESIDENCE / HOME,2400 BLOCK WESTERN TRAILS BLVD,78745.0,5.0,DA,4,488.0,17.12,False,2017-03-27 00:00:00,Rape,,,2017.0,1.0,1.0,3.0,12.0
2017-01-03 18:15:00,RAPE OF A CHILD,False,2017-01-03 18:15:00,RESIDENCE / HOME,11600 BLOCK APRIL DR,78753.0,1.0,ED,7,759.0,18.32,False,2018-02-01 00:00:00,Rape,,,2017.0,1.0,1.0,3.0,18.0
2017-01-04 00:00:00,RAPE,True,2017-01-25 14:53:00,RESIDENCE / HOME,2600 BLOCK SOL WILSON AVE,78702.0,1.0,CH,2,415.0,8.02,True,2017-02-13 00:00:00,Rape,,,2017.0,1.0,1.0,4.0,0.0
2017-01-04 00:09:00,ROBBERY BY THREAT,False,2017-01-04 00:09:00,PARKING LOTS / GARAGE,2507 E RIVERSIDE DR,78741.0,3.0,HE,2,457.0,23.16,True,2017-01-04 00:00:00,Robbery,30.23375473,-97.72426646,2017.0,1.0,1.0,4.0,0.0
2017-01-04 00:09:00,AGG ASLT STRANGLE/SUFFOCATE,True,2017-01-04 04:36:00,RESIDENCE / HOME,2936 BARTON SKWY,78746.0,8.0,DA,1,449.0,19.11,,,Aggravated Assault,30.26053307,-97.78844793,2017.0,1.0,1.0,4.0,0.0
2017-01-04 00:31:00,RAPE OF A CHILD,False,2017-01-04 00:31:00,RESIDENCE / HOME,5600 BLOCK N LAMAR BLVD,78756.0,7.0,ID,7,289.0,,True,2017-01-04 00:00:00,Rape,,,2017.0,1.0,1.0,4.0,0.0
2017-01-04 08:27:00,DEADLY CONDUCT,False,2017-01-04 08:27:00,RESIDENCE / HOME,304 DELMAR AVE,78752.0,4.0,ID,8,264.0,18.04,False,2017-08-21 00:00:00,Aggravated Assault,30.33851635,-97.70652382,2017.0,1.0,1.0,4.0,8.0
2017-01-04 10:25:00,AGG ASSAULT FAM/DATE VIOLENCE,True,2017-01-04 12:19:00,RESIDENCE / HOME,2347 DOUGLAS ST,78741.0,3.0,HE,2,483.0,23.13,True,2017-04-04 00:00:00,Aggravated Assault,30.22813323,-97.73117084,2017.0,1.0,1.0,4.0,10.0
2017-01-04 14:53:00,RAPE,False,2017-01-04 14:53:00,COMMERCIAL / OFFICE BUILDING,2100 BLOCK BOCA RATON DR,78747.0,5.0,FR,7,797.0,24.28,True,2017-04-04 00:00:00,Rape,,,2017.0,1.0,1.0,4.0,14.0
2017-01-04 16:36:00,AGGRAVATED ASSAULT,False,2017-01-04 17:36:00,RESIDENCE / HOME,9801 W PARMER LN,78717.0,6.0,AD,5,574.0,205.08,True,2017-01-09 00:00:00,Aggravated Assault,30.48543801,-97.77170883,2017.0,1.0,1.0,4.0,16.0
2017-01-04 17:06:00,AGGRAVATED ASSAULT,False,2017-01-04 17:24:00,STREETS / HWY / ROAD / ALLEY,900 E 11TH ST,78702.0,1.0,CH,2,413.0,8.0,False,2017-01-17 00:00:00,Aggravated Assault,30.27009178,-97.73127562,2017.0,1.0,1.0,4.0,17.0
2017-01-04 19:30:00,ARMED ROBBERY,False,2017-01-04 19:30:00,RESIDENCE / HOME,1881 GROVE BLVD,78741.0,3.0,HE,3,443.0,23.18,False,2017-04-05 00:00:00,Robbery,30.22863192,-97.70615517,2017.0,1.0,1.0,4.0,19.0
2017-01-04 21:43:00,AGG ASLT STRANGLE/SUFFOCATE,True,2017-01-04 22:54:00,RESIDENCE / HOME,6116 TINER TRL,78724.0,1.0,CH,6,303.0,22.0,False,2017-01-11 00:00:00,Aggravated Assault,30.29016765,-97.63947796,2017.0,1.0,1.0,4.0,21.0
2017-01-04 23:16:00,ARMED ROBBERY,False,2017-01-05 00:15:00,RESIDENCE / HOME,10610 MORADO CIR,78759.0,10.0,AD,7,198.0,17.22,False,2017-02-03 00:00:00,Robbery,30.40390628,-97.75232436,2017.0,1.0,1.0,4.0,23.0
2017-01-05 01:00:00,ARMED ROBBERY,False,2017-01-05 01:00:00,GAS / SERVICE STATIONS,3008 W SLAUGHTER LN,78748.0,5.0,FR,1,535.0,,,,Robbery,30.17932364,-97.8402354,2017.0,1.0,1.0,5.0,1.0
2017-01-05 01:05:00,AGG ASLT STRANGLE/SUFFOCATE,True,2017-01-05 01:05:00,RESIDENCE / HOME,8401 GARCREEK CIR,78724.0,1.0,CH,7,302.0,22.0,True,2017-01-05 00:00:00,Aggravated Assault,30.29392142,-97.62926583,2017.0,1.0,1.0,5.0,1.0
2017-01-05 03:59:00,AGG ASLT STRANGLE/SUFFOCATE,True,2017-01-05 03:59:00,RESIDENCE / HOME,8515 S IH 35 SVRD NB,78744.0,2.0,FR,7,543.0,24.29,True,2017-01-05 00:00:00,Aggravated Assault,30.17057316,-97.78193509,2017.0,1.0,1.0,5.0,3.0
2017-01-05 06:30:00,ROBBERY BY ASSAULT,False,2017-01-05 08:39:00,PARKING LOTS / GARAGE,1109 S PLEASANT VALLEY RD,78741.0,3.0,HE,3,442.0,23.17,False,2017-03-15 00:00:00,Robbery,30.24136087,-97.71692105,2017.0,1.0,1.0,5.0,6.0
2017-01-05 09:46:00,RAPE OF A CHILD,False,2017-10-05 09:46:00,RESIDENCE / HOME,9000 BLOCK NORTHGATE BLVD,78758.0,4.0,ED,2,235.0,,False,2018-02-19 00:00:00,Rape,,,2017.0,1.0,1.0,5.0,9.0
2017-01-05 14:30:00,ROBBERY BY ASSAULT,False,2017-01-05 15:22:00,STREETS / HWY / ROAD / ALLEY,8300 N LAMAR BLVD,78758.0,4.0,ED,2,249.0,18.0,False,2017-01-21 00:00:00,Robbery,30.35224678,-97.708836,2017.0,1.0,1.0,5.0,14.0
2017-01-05 17:30:00,AGG ASSAULT FAM/DATE VIOLENCE,True,2017-01-05 17:30:00,STREETS / HWY / ROAD / ALLEY,N LAMAR BLVD / W BRAKER LN,78753.0,4.0,ED,4,2213.0,18.23,True,2017-01-06 00:00:00,Aggravated Assault,30.38193221,-97.68638032,2017.0,1.0,1.0,5.0,17.0
2017-01-05 19:20:00,ROBBERY BY ASSAULT,False,2017-01-05 22:41:00,PARKING LOTS / GARAGE,710 E BEN WHITE BLVD SVRD WB,78704.0,3.0,DA,2,480.0,23.0,True,2017-01-21 00:00:00,Robbery,30.2200027,-97.75439457,2017.0,1.0,1.0,5.0,19.0
2017-01-05 20:29:00,AGGRAVATED ASSAULT,True,2017-01-05 20:29:00,RESIDENCE / HOME,2302 DURWOOD ST,78704.0,9.0,DA,1,476.0,13.0,True,2017-01-06 00:00:00,Aggravated Assault,30.24193769,-97.7577335,2017.0,1.0,1.0,5.0,20.0
2017-01-05 20:55:00,AGG ASLT STRANGLE/SUFFOCATE,True,2017-01-05 20:55:00,RESIDENCE / HOME,1701 MATTHEWS LN,78745.0,5.0,FR,1,525.0,17.28,True,2017-01-05 00:00:00,Aggravated Assault,30.19832122,-97.80454987,2017.0,1.0,1.0,5.0,20.0
2017-01-05 23:04:00,AGGRAVATED ASSAULT,False,2017-01-05 23:04:00,RESTAURANTS,4619 BORAGE DR,78744.0,2.0,FR,8,530.0,24.3,False,2017-01-18 00:00:00,Aggravated Assault,30.17426952,-97.75762512,2017.0,1.0,1.0,5.0,23.0
2017-01-05 23:20:00,DEADLY CONDUCT,False,2017-01-05 23:20:00,STREETS / HWY / ROAD / ALLEY,N IH 35 SVRD SB / W PARMER LN,78753.0,7.0,ED,4,193.0,18.26,True,2017-01-05 00:00:00,Aggravated Assault,30.40802586,-97.67524001,2017.0,1.0,1.0,5.0,23.0
2017-01-06 07:30:00,SEXUAL ASSAULT OF CHILD/OBJECT,False,2017-01-08 01:50:00,HOTEL / MOTEL / ETC.,6100 BLOCK FAIRWAY ST,78741.0,3.0,HE,3,443.0,23.18,False,2017-06-23 00:00:00,Rape,,,2017.0,1.0,1.0,6.0,7.0
2017-01-06 20:57:00,ARMED ROBBERY,False,2017-01-06 20:57:00,RESIDENCE / HOME,4320 S CONGRESS AVE,78745.0,3.0,DA,3,491.0,20.03,False,2017-05-03 00:00:00,Robbery,30.21903307,-97.76718941,2017.0,1.0,1.0,6.0,20.0
2017-01-06 22:00:00,RAPE,False,2017-01-07 08:21:00,BAR / NIGHT CLUB,6500 BLOCK N LAMAR BLVD,78757.0,7.0,ID,7,277.0,15.0,True,2017-02-21 00:00:00,Rape,,,2017.0,1.0,1.0,6.0,22.0
2017-01-06 23:28:00,AGG ASSAULT FAM/DATE VIOLENCE,True,2017-01-06 23:28:00,RESIDENCE / HOME,11201 N MOPAC EXPY SVRD NB,78758.0,7.0,AD,2,199.0,17.54,True,2017-01-07 00:00:00,Aggravated Assault,30.40083979,-97.72892075,2017.0,1.0,1.0,6.0,23.0
2017-01-07 03:00:00,AGGRAVATED ASSAULT,False,2017-01-07 04:41:00,RESIDENCE / HOME,9603 PARKFIELD DR,78758.0,4.0,ED,1,239.0,18.22,True,2017-01-09 00:00:00,Aggravated Assault,30.37045116,-97.70438839,2017.0,1.0,1.0,7.0,3.0
2017-01-07 04:02:00,AGG ASLT STRANGLE/SUFFOCATE,True,2017-01-07 04:02:00,RESIDENCE / HOME,2905 COLLINS CREEK DR,78741.0,3.0,HE,2,483,23.13,True,2017-01-10 00:00:00,Aggravated Assault,30.22376334,-97.73119039,2017.0,1.0,1.0,7.0,4.0
2017-01-07 11:00:00,RAPE OF A CHILD,False,2017-01-08 01:50:00,RESIDENCE / HOME,6100 BLOCK FAIRWAY ST,78741.0,3.0,HE,3,443.0,23.18,True,2017-01-19 00:00:00,Rape,,,2017.0,1.0,1.0,7.0,11.0
2017-01-07 11:24:00,AGG ASLT STRANGLE/SUFFOCATE,True,2017-01-07 11:24:00,RESIDENCE / HOME,2110 WIRTZ AVE,78704.0,9.0,DA,1,471.0,13.0,True,2017-01-11 00:00:00,Aggravated Assault,30.24682362,-97.76574763,2017.0,1.0,1.0,7.0,11.0
2017-01-07 12:09:00,AGG ASSAULT FAM/DATE VIOLENCE,True,2017-01-07 12:09:00,RESIDENCE / HOME,2510 EUCLID AVE,78704.0,3.0,DA,2,475.0,,True,2017-01-20 00:00:00,Aggravated Assault,30.23806629,-97.75778607,2017.0,1.0,1.0,7.0,12.0
2017-01-07 17:50:00,ARMED ROBBERY,False,2017-01-07 17:52:00,PARKING LOTS / GARAGE,1015 RUTLAND DR,78758.0,4.0,ED,1,238.0,,False,2017-07-03 00:00:00,Robbery,30.3671238,-97.70414923,2017.0,1.0,1.0,7.0,17.0
2017-01-07 20:53:00,ROBBERY BY THREAT,False,2017-01-07 20:53:00,LIQUOR STORE,1717 S PLEASANT VALLEY RD,78741.0,3.0,HE,3,442.0,23.18,True,2017-01-08 00:00:00,Robbery,30.23513149,-97.72016225,2017.0,1.0,1.0,7.0,20.0
2017-01-07 21:00:00,SEXUAL ASSAULT W/ OBJECT,True,2017-01-17 15:30:00,RESIDENCE / HOME,3300 BLOCK GALLOP CV,78745.0,5.0,DA,4,504.0,,True,2017-01-19 00:00:00,Rape,,,2017.0,1.0,1.0,7.0,21.0
2017-01-07 21:47:00,ARMED ROBBERY,False,2017-01-07 21:52:00,PARKING LOTS / GARAGE,8926 N LAMAR BLVD,78758.0,4.0,ED,1,237.0,18.19,False,2017-07-03 00:00:00,Robbery,30.35875709,-97.69972149,2017.0,1.0,1.0,7.0,21.0
2017-01-07 22:15:00,ARMED ROBBERY,False,2017-01-08 00:22:00,PARKING LOTS / GARAGE,12349 METRIC BLVD,78758.0,7.0,ED,4,204.0,18.26,False,2017-07-03 00:00:00,Robbery,30.40977797,-97.69537019,2017.0,1.0,1.0,7.0,22.0
2017-01-08 01:47:00,AGG ASLT STRANGLE/SUFFOCATE,True,2017-01-08 01:47:00,RESIDENCE / HOME,3200 S LAMAR BLVD,78704.0,5.0,DA,4,465.0,,True,2017-01-13 00:00:00,Aggravated Assault,30.24196938,-97.7853102,2017.0,1.0,1.0,8.0,1.0
2017-01-08 02:19:00,ARMED ROBBERY,False,2017-01-10 14:12:00,PARKING LOTS / GARAGE,2200 S PLEASANT VALLEY RD,78741.0,3.0,HE,2,457.0,23.16,False,2017-05-15 00:00:00,Robbery,30.23154682,-97.7260523,2017.0,1.0,1.0,8.0,2.0
2017-01-08 02:19:00,ARMED ROBBERY,False,2017-01-08 02:19:00,RESIDENCE / HOME,2200 S PLEASANT VALLEY RD,78741.0,3.0,HE,2,457.0,23.16,False,2017-05-15 00:00:00,Robbery,30.23154682,-97.7260523,2017.0,1.0,1.0,8.0,2.0
2017-01-08 03:12:00,AGG ASLT STRANGLE/SUFFOCATE,True,2017-01-08 03:12:00,PARKING LOTS / GARAGE,1700 TERI RD,78744.0,2.0,FR,5,493.0,24.11,True,2017-01-15 00:00:00,Aggravated Assault,30.20524259,-97.75566571,2017.0,1.0,1.0,8.0,3.0
2017-01-08 07:00:00,AGG ASSAULT FAM/DATE VIOLENCE,True,2017-01-09 11:10:00,RESIDENCE / HOME,6017 ATWOOD ST,78741.0,3.0,HE,3,443.0,23.17,True,2017-01-12 00:00:00,Aggravated Assault,30.23977511,-97.69832892,2017.0,1.0,1.0,8.0,7.0
2017-01-08 09:15:00,AGGRAVATED ASSAULT,False,2017-01-08 10:22:00,RESIDENCE / HOME,3105 S IH 35 SVRD NB,78741.0,3.0,HE,2,482.0,23.07,False,2017-01-17 00:00:00,Aggravated Assault,30.22525037,-97.74417353,2017.0,1.0,1.0,8.0,9.0
2017-01-08 09:45:00,AGG ASLT STRANGLE/SUFFOCATE,True,2017-01-08 10:05:00,RESIDENCE / HOME,1515 GROVE BLVD,78741.0,3.0,HE,3,443.0,23.18,True,2017-01-10 00:00:00,Aggravated Assault,30.2309895,-97.70564444,2017.0,1.0,1.0,8.0,9.0
2017-01-08 13:49:00,RAPE OF A CHILD,True,2017-01-08 13:49:00,RESIDENCE / HOME,GEORGI00 BLOCK DR / E POWELL LN,78753.0,4.0,ED,1,592.0,18.0,False,2017-01-18 00:00:00,Rape,,,2017.0,1.0,1.0,8.0,13.0
2017-01-08 19:07:00,AGGRAVATED ASSAULT,False,2017-01-08 20:35:00,RESIDENCE / HOME,11607 SIERRA NEVADA,78759.0,10.0,AD,7,190.0,25.0,False,2017-02-24 00:00:00,Aggravated Assault,30.42085628,-97.75504086,2017.0,1.0,1.0,8.0,19.0
2017-01-08 21:11:00,ROBBERY BY ASSAULT,False,2017-01-08 23:24:00,PARKING LOTS / GARAGE,412 E WILLIAM CANNON DR,78745.0,2.0,FR,4,515.0,24.0,True,2017-01-15 00:00:00,Robbery,30.19259606,-97.77497082,2017.0,1.0,1.0,8.0,21.0
2017-01-08 23:06:00,AGGRAVATED ASSAULT,False,2017-01-08 23:06:00,DEPARTMENT / DISCOUNT STORE,1030 NORWOOD PARK BLVD,78753.0,4.0,ID,2,252.0,18.13,False,2017-02-06 00:00:00,Aggravated Assault,30.3391525,-97.69116892,2017.0,1.0,1.0,8.0,23.0
2017-01-08 23:42:00,AGG ASLT STRANGLE/SUFFOCATE,True,2017-01-08 23:42:00,RESIDENCE / HOME,4646 MUELLER BLVD,78723.0,9.0,BA,4,900.0,,True,2017-01-09 00:00:00,Aggravated Assault,30.29986863,-97.70708128,2017.0,1.0,1.0,8.0,23.0
