,    Bias,Bias,Date of Incident,Date of Incident/Day of Week,Day of Week,Incident Number,Month,Notes,Number of Offenders over 18,Number of Offenders under 18,Number of Victims Over 18,Number of Victims over 18,Number of Victims under 18,Number of vitims under 18,Offense,Offense Location,Offense(s),Race or Ethnic of Offender,Race/Ethnic of Offender(s),Race/Ethnicity of Offenders,Victim Type
46,,Anti-Black or African American,12/19/2019 0:00,,Thursday,2019-3531078,December,,1,0,,1.0,0.0,,,Shelter-Mission/Homeless,Intimidation,,,White/Not Hispanic,
47,,Anti-Black or African American,12/30/2019 0:00,,Monday,2019-3641765,December,,1,0,,1.0,0.0,,,Streets/Highway/Road/Alley,Assault,,,White/Not Hispanic,
48,,Anti-Black or African American,3/1/2020,,Sunday,2020-602085,March,,1,0,,1.0,0.0,,,Residence/Home,Criminal Mischief,,,White/Non-Hispanic,
49,,Anti-Gay (Male); Anti-Transgender,3/8/2020,,Sunday,2020-680226,March,,2,0,,1.0,0.0,,,Parking Lot,Assault,,,White/Hispanic,
50,,Anti-Gay (Male); Anti-Jewish,3/22/2020,,Sunday,2020-5011788,March,,0,0,,1.0,0.0,,,Residence/Home,Criminal Mischief,,,Unknown,
51,,Anti-Buddhist,4/20/2020,,Monday,2020-5015689,April,,0,0,,1.0,0.0,,,Church/Synagogue/Temple/Mosque,Criminal Mischief,,,Unknown,
52,,Anti-Gay (Male); Anti-Transgender,4/29/2020,,Wednesday,2020-5016804,April,,1,0,,1.0,0.0,,,Department/Discount Store,Assault by Threat,,,Black/Non-Hispanic,
53,,Anti-Black or African American,5/17/2020,,Sunday,2020-1381131,May,,1,0,,1.0,0.0,,,Convenience Store,Assault by Contact,,,White/Non-Hispanic,
54,,Anti-Hispanic or Latino,5/20/2020,,Wednesday,2020-1410411,May,,1,0,,1.0,0.0,,,Streets/Highway/Road/Alley,Assault with Injury,,,White/Non-Hispanic,
55,,Anti-Black or African American,6/4/2020,,Thursday,2020-1560947,June,,1,0,,1.0,0.0,,,Residence/Home,Criminal Mischief,,,Unknown,
56,,Anti-Black or African American,6/9/2020,,Tuesday,2020-1610708,June,,1,0,,1.0,0.0,,,Streets/Highway/Road/Alley,Criminal Mischief,,,Unknown,
57,,Anti-Black or African American,6/17/2020,,Wednesday,2020-1690572,June,,1,0,,1.0,0.0,,,Parking Lot,Criminal Mischief,,,Unknown,
58,,Anti-Black or African American,6/23/2020,,Tuesday,2020-1750961,June,,1,0,,1.0,0.0,,,Streets/Highway/Road/Alley,Criminal Mischief,,,Unknown,
